mjd,flux_ztfg,flux_ztfr,flux_error_ztfg,flux_error_ztfr,type,obj_id,mjd_0,redshift,flux_ztfi,flux_error_ztfi,mag_ztfg,abs_mag_ztfg,mag_error_ztfg,mag_ztfr,abs_mag_ztfr,mag_error_ztfr,mag_ztfi,abs_mag_ztfi,mag_error_ztfi,t
58226.34053240018,136.47656605116572,99.00827530578317,20.22541413754484,1.2457297955226343,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,18.562354783799233,-13.788410797643397,0.1609028203210113,18.910821261752588,-13.439944319690042,0.013660817100061765,,nan,,0.0
58226.84488261533,162.97227236516846,126.21948087770579,16.2296882318163,2.7786139761649213,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,18.369715697320437,-13.981049884122193,0.10812366944075341,18.647184025868395,-13.703581555574235,0.02390155443510514,,nan,,0.504350215149573
58227.34923283048,190.82530951663284,153.3639119489817,12.014730643397584,3.5244963347785525,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,18.198410061311847,-14.152355520130783,0.06836005183482577,18.43569205542103,-13.915073526021601,0.02495158884235681,,nan,,1.008700430299146
58227.85358304563,219.42332399253428,180.39997008880164,7.692803954810569,4.826812558356262,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,18.046793025507768,-14.303972555934862,0.03806503163778769,18.259408847005556,-14.091356734437074,0.029050144219031217,,nan,,1.5130506454487191
58228.35793326078,248.0895373151543,206.39204977876943,4.061100472032802,5.478883967891266,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.913478877127897,-14.437286704314733,0.01777295351252608,18.11326758936242,-14.237497992080211,0.02882195652392969,,nan,,2.017400860598292
58228.86228347593,275.4438969813091,230.03560369192564,2.8632694263094898,4.265631358917402,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.79991711464981,-14.550848466792822,0.011286346563460812,17.995512352453016,-14.355253228989614,0.020133189507180647,,nan,,2.521751075747865
58229.366633691076,295.34677339907284,250.13495167115616,1.8505685145497934,2.171503350359697,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.724169423388723,-14.626596158053907,0.006802949673390573,17.904564048788952,-14.446201532653678,0.009425631206224475,,nan,,3.0261012908974383
58229.87098390623,303.6846636730497,265.4869668882711,2.4240643402544735,3.14857336118335,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.69394284939716,-14.65682273204547,0.008666537141009326,17.839891985396367,-14.510873596046263,0.012876413978590615,,nan,,3.530451506047011
58230.375334121374,305.0024173798902,273.5546967011742,2.2018197421001093,3.428460914819614,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.689241796300358,-14.661523785142272,0.007837955616501668,17.807389560890265,-14.543376020552365,0.013607531461556714,,nan,,4.034801721196584
58230.87968433653,301.88948750228155,272.1266642331939,2.648779461138315,3.0615524844636797,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.700380024656898,-14.650385556785732,0.009526253408727465,17.813072254867176,-14.537693326575454,0.012215041052724421,,nan,,4.539151936346157
58231.38403455167,294.2870110527074,263.731726334865,2.005083724485645,2.3759269309242743,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.728072264837806,-14.622693316604824,0.007397513011049733,17.847094056030596,-14.503671525412035,0.009781264941514652,,nan,,5.04350215149573
58231.888384766826,285.0160386066982,251.3874771732717,2.526472340564106,3.044539596189575,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.762826751010305,-14.587938830432325,0.009624309227929865,17.89914090105241,-14.451624680390221,0.013149290106142866,,nan,,5.547852366645303
58232.39273498197,274.7803409915505,236.36242769253477,1.783661005067514,3.0631142062849483,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.80253585465256,-14.548229726790069,0.007047757940866023,17.966053895012603,-14.384711686430027,0.014070484998566333,,nan,,6.052202581794877
58232.897085197124,258.99740975892746,220.8229677160307,3.4552817190505913,6.204243109967026,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.866761448223798,-14.484004133218832,0.014484795286192323,18.03988939445876,-14.310876186983869,0.03050484936999313,,nan,,6.556552796944449
58233.40143541227,239.53963618805938,205.8201688956142,4.86125886134549,10.49248736765524,Ibn,ZTF18aakuewf,58226.34053240018,0.0636,,,17.951556535962656,-14.399209045479974,0.022034118572011006,18.116280174384812,-14.234485407057818,0.05534964563559529,,nan,,7.060903012094022
